title,company,salary,description,openings,experience,education,englishlevel,gender,address,Education,English Level,Experience,Gender,Address
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Vadodara, Vadodara, Gujarat - 300018"
Food Delivery Boy,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Agrasen Rd, Gorepeth, Nagpur, Maharashtra, India, Dharampeth, Nagpur, Maharashtra - 440001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"302/5 2ND FLOOR , JYOTI SHOPING COMLEX , MP NAGAR ZONE 1, MP Nagar, Bhopal, Madhya Pradesh - 462001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Rani bagan near birla hanuman mandir, Bariatu Road , Ranchi, Jharkhand - 834001"
Food Delivery Boy,Voice Management Consultancy,"20,000
						-
						45,000 ",,245,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Lajpat Nagar, New Delhi, Delhi-NCR, Delhi - 110001"
Sales Manager,JobQuest,"25,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 6.0 months,Both,"HITEC City, Hyderabad, Telangana 500081, India, Telangana - 500001"
FMCG Sales Manager,Twipp,"40,000
						-
						50,000 ",,10,,,,,e,Graduate,Thoda English,Min. 3 Years,Male Only,"# 380C 5th Main Road Opp Gandhim superspeciality Hospital Vijay Bank Layout Bangalore-560076, Bilekhalli, Bengaluru, Karnataka - 560001"
Real Estate Sales Manager,Investor Mart,"10,000
						-
						50,000 ",,12,,,,,e,Graduate,Thoda English,Min. 1 Years,Both,"Gaur City 2, Ghaziabad, Uttar Pradesh 201009, India, Gaur City 2, Delhi-NCR, Delhi - 110001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"near Aanand bhawan, Allahabad, Prayagraj, Uttar Pradesh - 211001"
Sales Manager,Vaishnavi Infracon India,"35,000
						-
						50,000 ",,10,,,,,e,Graduate,Fluent English,Min. 3 Years,Both,"Sy.No's 46/AA/1, 46/E/1,46/EE/1,46/U/1 & 46/UU/1 Abhyudaya Nagar, Bandlaguda Jagir village, Hyderabad, Telangana 500086, Bandlaguda, Hyderabad, Telangana - 500001"
Full Stack Engineer,fly abroad,"25,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 5 Years,Both,"Fly abroad first floor H-141 Noida Sector-63, Noida Electronic City, Delhi-NCR, Delhi - 110001"
Sales & Marketing Executive,Promex Technologies,"10,000
						-
						30,000 ",,5,,,,,e,12th Pass,Thoda English,Min. 2 Years,Male Only,"Nexum, near MCD primary school, Uttam Vihar, Block A, Uttam Nagar, Bindapur, New Delhi, Delhi, India, Chanakya Place, Delhi-NCR - 110001"
Sales & Marketing Manager,Destiny International,"20,000
						-
						50,000 ",,2,,,,,e,Graduate,Good English,Min. 2 Years,Male Only,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Web Developer,Sahuji Enterprise,"40,000
						-
						50,000 ",,10,,,,,e,Diploma,Good English,Min. 3 Years,Both,"Sangchaya CHS, Charkop Sector 3, Kandivali West, Mumbai, Maharashtra 400067, India, Charkop Naka, Mumbai, Maharashtra - 400076"
Marketing Executive,,,,,,,,,e,,,,,
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Chandrasekharpur, Bhubaneswar, Odisha 751016, India, Chandra Sekhar Pur, Bhubaneswar, Odisha - 750017"
Sales Executive,Vrundawan Agro Sales & Services,"15,600
						-
						40,400 ",,10,,,,,e,12th Pass,No English,Freshers can apply,Male Only,"Ahmednagar, Ahmednagar, Maharashtra - 414001"
PHP Laravel Developer,Ksquaretech consulting ,"30,000
						-
						50,000 ",,10,,,,,e,Graduate,Thoda English,Min. 3 Years,Both,"478, 479, Krishna Colony, Sector 7, Gurugram, Haryana 122001, India, Gurgaon, Sector 7, Delhi-NCR, Delhi - 110001"
Telesales Executive,XT Square,"15,000
						-
						65,000 ",,30,,,,,e,12th Pass,Good English,Freshers only,Both,"#52/13,REVA RESIDENCY,GROUND FLOOR,7TH MAIN ROAD,BTM 2ND STAGE,NEAR HOME NEEDS BUILDING, Btm Layout 7th Main, Bengaluru, Karnataka - 560001"
Education Counsellor,Hiring Studio,"20,000
						-
						50,000 ",,10,,,,,e,Graduate,Fluent English,Min. 2 Years,Female Only,"AECS Layout - A Block, AECS Layout, Singasandra, Bengaluru, Karnataka 560068, India, Whitefield, Bengaluru, Karnataka - 560001"
Truck Driver,Ramesh Roadlines,"22,000
						-
						30,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"3 Sector 17 Dwarka, Isapur Khera, Dwarka, Delhi, 110075, India, Poonamallee, Chennai, Tamil Nadu - 600001"
Sales and Marketing Manager,Vishal Colour Roofs Private Limited,"20,000
						-
						55,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 3 Years,Male Only,"504-505 Choukhani squre, Noida Sector 18, Delhi-NCR, Delhi - 110001"
Sales Program Advisor,Strategic Alliances Network,"15,000
						-
						70,000 ",,10,,,,,e,Graduate,Fluent English,Freshers can apply,Both,"302 room no., 3rd floor, amfotech business park, near south coastal hotel, road no. 8, wagle estate, thane west, Thane, Mumbai, Maharashtra - 400076"
Mineral Water Plant Manager,Aplus Vision Opc,"35,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 10 Years,Male Only,"Aplus Vision Opc Pvt Ltd 17 th Floor, Office No.1702.1703, The Ambience Court, Plot No.2, Sector 19D, Vashi, Mumbai, Maharashtra -400703 ·, Maharashtra - 400076"
Sales Officer,IndusInd Bank Limited,"1,000
						-
						70,000 ",,20,,,,,e,Graduate,Thoda English,Min. 3 Years,Male Only,"Panchwati Cross Road, Ellisbridge, Ahmedabad, Gujarat 380006, Panchvati, Ahmedabad, Gujarat - 380001"
Area Sales Manager (B2B),Nutri Being Private Limited,"30,000
						-
						60,000 ",,10,,,,,e,Graduate,Thoda English,Min. 3 Years,Male Only,"Pune, Pune, Maharashtra - 411002"
Video Editor,Arvind Arora,"30,000
						-
						55,000 ",,10,,,,,e,Graduate,Thoda English,Min. 1 Years,Both,"SALARPURIA CADENZA, Kudlu Gate, Bengaluru, Karnataka 560068, India, Bommanahalli, Bengaluru, Karnataka - 560001"
HR Recruiter,Hdfc Life Insurance Company Limited,"15,000
						-
						55,000 ",,10,,,,,e,12th Pass,No English,Freshers can apply,Both,"Barasat, Kolkata, West Bengal, India, West Bengal - 700080"
Digital Marketing Executive,N5X Infotech Private Limited,"20,000
						-
						25,000 ",,10,,,,,e,Graduate,Fluent English,Freshers can apply,Both,"E-54, E Block, Sector 6, Noida, Uttar Pradesh 201301, India, Noida Sector 15, Delhi-NCR, Delhi - 110001"
Sales Manager,Grow More Estate,"15,000
						-
						99,000 ",,10,,,,,e,Graduate,Thoda English,Min. 1 Years,Both,"TOWER-2, DLF CORPORATE GREENS, Sector 74A, Gurugram, Haryana 122004, India, Dlf Corporate Greens Gurgaon, Delhi-NCR, Delhi - 110001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"202,Ganraj sankul,Opp.to Choudhary Life style,Pratap Nagar Road, Nagpur, Pratap Nagar, Nagpur, Maharashtra - 440001"
Graphic Designer,Fashion Mantra,"8,000
						-
						25,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 2 Years,Both,"2, Panchratna, SBI Society Rd, near 2, C N Vidhyalaya, Ambawadi, Ahmedabad, Gujarat 380006, India, Gujarat - 380001"
Delivery Executive,Zepto,"20,000
						-
						25,000 ",,100,,,,,e,10th or Below 10th,No English,Freshers can apply,Both,"214, Ganapthipuram Colony, 6th Street, Nadambakkam, Chennai 89, Nandambakkam, Chennai, Tamil Nadu - 600001"
Education Counsellor / Digital Marketing,Nexuscip Study Abroad,"20,000
						-
						55,000 ",,10,,,,,e,Graduate,Fluent English,Freshers can apply,Both,"S.C.O No: 99, 2nd Floor,  Sector - 44-C,  Chandigarh - 160047, Sector 44 chandigarh, Chandigarh, Punjab - 133301"
Retail Team Leader,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						80,000 ",,35,,,,,e,Graduate,No English,Freshers can apply,Both,"Nagpur, Nagpur, Maharashtra - 440001"
Senior HR Manager,PNR Impex,"20,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 6.0 months,Female Only,"505 Metro Avenue, Nr. Western Express Highway Metro Station Pereira Road, off:, Andheri - Kurla Rd, Chakala, Andheri East, Mumbai, Maharashtra 400099, India, Maharashtra - 400076"
Sales & Marketing Executive,Zillions Buyer,"20,000
						-
						60,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 3 Years,Male Only,"Hinjewadi, Blueridge Township, pune., Hinjewadi, Pune, Pune, Maharashtra - 411002"
Data Collection Executive,Hni Idea Ventures Private Limited,"12,500
						-
						33,800 ",,10,,,,,e,12th Pass,No English,Freshers only,Female Only,"Meerut, Meerut, Uttar Pradesh - 250001"
Delivery Boy Biker,Hrbuzz Staffing Solutions Private Limited,"20,000
						-
						28,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Sector 127 Sunny enclave, Kharar mohali, Chandigarh, Punjab - 133301"
Operation Manager,Moon Drop Resorts,"15,000
						-
						25,000 ",,10,,,,,e,Graduate,Good English,Min. 5 Years,Both,"Cronies Building, Plot 4C, MN Park, Genome Valley, Phase 1, Synergy Square Thurkapally, Shamirpet, Hyderabad, Telangana 500101, Telangana - 500001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Bada Ranisar, Bikaner, Rajasthan 334001, India, Baind Line, Bikaner, Rajasthan - 334001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Sonari, R5FF+65R, Kagal Nagar, Sonari, Jamshedpur, Jharkhand 831011, India, Jharkhand - 831001"
Bike Rider,Workstar Manpower,"25,000
						-
						31,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"Golden Globe, Ward 27, Mansarovar Sector 6, Mansarovar, Jaipur, Rajasthan, India, Arawali Path, Jaipur, Rajasthan - 302001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Prayagraj, Prayagraj, Uttar Pradesh - 211001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Dhanbad, Dhanbad, Jharkhand - 826001"
Sales Manager,Max Life Insurance,"20,000
						-
						70,000 ",,10,,,,,e,Graduate,Thoda English,Min. 1 Years,Both,"Avenue colony harmada, Tilak Nagar, jaipur, Jaipur, Rajasthan - 302001"
Banker,Sgenesis Fin-Tech,"25,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 1 Years,Both,"D.No 54-14-1, Plot No 41, Road No 1, First Floor, Above SBI, Mahanadu Road, Srinivasa Nagar, Bank Colony - 520008, Stata Bank Colony, Vijayawada, Andhra Pradesh - 502355"
Retail Team Leader,Bajaj Allianz Life Insurance Company Limited,"19,000
						-
						80,000 ",,35,,,,,e,Graduate,No English,Freshers can apply,Both,"Aurangabad, Aurangabad, Maharashtra - 431001"
Marketing Executive,Modern Dairy ,"20,000
						-
						50,000 ",,10,,,,,e,Graduate,Thoda English,Freshers can apply,Both,"Pune, Pune, Maharashtra - 411002"
Mern Stack Developer,D2Web Digital Experts,"35,000
						-
						50,000 ",,2,,,,,e,Graduate,Thoda English,Min. 1 Years,Both,"https://goo.gl/maps/JFAtJY3x9GfWFQcN7, C. G. Road, Ahmedabad, Gujarat - 380001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Meerut, Meerut, Uttar Pradesh - 250001"
Business Development Manager,Phoenix Software,"20,000
						-
						70,000 ",,10,,,,,e,Graduate,Fluent English,Freshers can apply,Both,"St. Peter's School, Sarjapur - Marathahalli Rd, Pushpaveni Layout, Kaikondrahalli, Bengaluru, Karnataka 560035, India, Karnataka - 560001"
Sales Executive/ Manager,Ropstar Private Limited,"20,000
						-
						100,000 ",,10,,,,,e,Graduate,Thoda English,Freshers can apply,Both,"D-54, Noida Sector 50, Delhi-NCR, Delhi - 110001"
Senior HR Manager,Global Edifice Builders,"40,000
						-
						50,000 ",,10,,,,,e,Graduate,Fluent English,Min. 10 Years,Both,"https://www.google.com/maps/dir/12.9138688,77.6404992/faith+full+gospel+church/@12.9158902,77.6401718,17z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x3bae1486dd11d519:0x4b41168740a01a56!2m2!1d77.6449929!2d12.9196186, HSR Layout, Bengaluru, Karnataka - 560001"
Area Sales Manager,Arush Enterprises,"15,000
						-
						60,000 ",,10,,,,,e,Graduate,Thoda English,Min. 3 Years,Male Only,"Kolkata, Kolkata, West Bengal - 700080"
Product Specialist,Anugrah Human Resource Services,"20,000
						-
						50,000 ",,10,,,,,e,10th or Below 10th,Fluent English,Min. 2 Years,Both,"OPP CHITRA TALKIES GANDHI BAGH NAGPUR, Gandhibagh, Nagpur, Maharashtra - 440001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Ambedkar Circle, Bikaner, Rajasthan - 334001"
Head Bar Man,Inboxe Services Llp,"40,000
						-
						50,000 ",,10,,,,,e,12th Pass,Good English,Min. 5 Years,Both,"Boston House, 7th Floor, Suren Rd, Chakala, Andheri East, Near Western Express Highway Metro Station, Mumbai, Maharashtra 400093, Goregaon West, Mumbai, Maharashtra - 400076"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Johri Gaon Rd, Johri, Malsi, Dehradun, Uttarakhand 248001, India, Jakhan, Dehradun, Uttarakhand - 248001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Seva Sadan Bhavan, Gandhibagh, Nagpur, Maharashtra 440018, India, Maharashtra - 440001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Rajkot, Rajkot, Gujarat - 360001"
Math Teacher,LRG Renganayaki Ammal Charities,"25,000
						-
						50,000 ",,10,,,,,e,Post Graduate,Fluent English,Min. 5 Years,Both,"NES Office Rd, East Colony, Yelahanka, Bengaluru, Karnataka, India, Karnataka - 560001"
Project manager,Saujannaya Manpower System Private Limited,"40,000
						-
						65,000 ",,10,,,,,e,Diploma,Thoda English,Min. 3 Years,Male Only,"Lalung Gaon Road, Lokhra, Guwahati, Assam 781034, India, Assam - 781001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Online Work/Remote work, Bilwa, Jaipur, Rajasthan - 302001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"101 dawa bazar film colony chaura rasta, Ajmeri Gate, Jaipur, Rajasthan - 302001"
Bike Rider,Workstar Manpower,"26,000
						-
						33,000 ",,249,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Chandigarh, Chandigarh, Punjab - 133301"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Khera Kalan Rd, Khera Kalan, Delhi, India, Alipur, Delhi-NCR - 110001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Vallabh Vidyanagar, Anand, Gujarat 388120, India, Ajod, Vadodara, Gujarat - 300018"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Cuttack, Cuttack, Odisha - 753001"
Retail Partner Executive,Bajaj Allianz Life Insurance Company Limited,"21,000
						-
						53,000 ",,10,,,,,e,Graduate,No English,Freshers can apply,Both,"Bidhannagar, Kolkata, West Bengal, India, Bidhan Nagar, Kolkata, West Bengal - 700080"
Life Insurance Advisor,Bajaj Allianz Life Insurance Company Limited,"21,000
						-
						73,000 ",,10,,,,,e,Graduate,Thoda English,Freshers can apply,Both,"Taratala, Kolkata, West Bengal, India, West Bengal - 700080"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"3d block , Asapur, Varanasi, Uttar Pradesh - 212011"
Business Development Manager (BDM),HDFC Life Ltd,"30,000
						-
						50,000 ",,10,,,,,e,Graduate,Thoda English,Min. 1 Years,Male Only,"Jayanagar, Bengaluru, Karnataka, India, Karnataka - 560001"
Interior Designer,Solaris Consultants,"10,000
						-
						55,000 ",,10,,,,,e,Diploma,Thoda English,Freshers can apply,Both,"Senapati Bapat Rd, Sheti Mahamandal, Gokhalenagar, Pune, Maharashtra, India, Senapati Bapat Road Passport Office More, Pune, Maharashtra - 411002"
Digital Marketing Manager,Kashavi A Complete Property Solution,"30,000
						-
						65,000 ",,10,,,,,e,Graduate,Good English,Min. 2 Years,Male Only,"57, B Block Rd, Block A, Sector 64, Noida, Uttar Pradesh 201307, India, Noida Sector 62, Delhi-NCR, Delhi - 110001"
Senior Graphic Designer,,,,,,,,,e,,,,,
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Surat, Surat, Gujarat - 395003"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Surat, Gujarat 395007, India, Abhava, Surat, Gujarat - 395003"
Site Manager,Power Tranz Enterprises,"20,000
						-
						50,000 ",,10,,,,,e,Diploma,Thoda English,Freshers can apply,Male Only,"5/19, Vellalar St, Third Floor, Kodambakkam Chennai, Tamil Nadu 600024, India, Alapakkam, Chennai, Tamil Nadu - 600001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Mavli Road, Gopal hotel K samne, Dabok, Udaipur, Charak Marg, Udaipur, Rajasthan - 313001"
Social Teacher,Rps National Academy,"5,000
						-
						51,000 ",,10,,,,,e,Graduate,Good English,Min. 3 Years,Both,"1125, 30th Main Rd, Poornapragna Housing Society Layout, Bengaluru, Karnataka 560061, India, Uttarahalli, Bengaluru, Karnataka - 560001"
Delivery Boy,Zomato,"21,000
						-
						32,000 ",,10,,,,,e,10th or Below 10th,Thoda English,Freshers can apply,Male Only,"Headquarters Eastern Naval Command, Hindustan Shipyard, Visakhapatnam, Andhra Pradesh 530014, India, Gajuwaka, Visakhapatnam, Andhra Pradesh - 500020"
Motion Graphic Designer,Blustream Marketing Solutions,"35,000
						-
						52,500 ",,10,,,,,e,Graduate,Fluent English,Freshers can apply,Both,"2/378, 3rd St, Kannappa Nagar Extension, Valmiki Nagar, Kannappa Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India, Kottivakkam, Chennai, Tamil Nadu - 600001"
Visa Counsellor,Ggh Vacations Private Limited,"30,000
						-
						80,000 ",,10,,,,,e,Graduate,Good English,Min. 2 Years,Female Only,"104, Ground Floor, Piccadaily Square Mall, Sector 34, Chandigarh, Sector 34A chandigarh, Chandigarh, Punjab - 133301"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"BPO Convergence PVT LTD.5th Floor ,OCAC TOWER ,Near Pathani Samanta Planetotium,Bhubaneswar., Acharya Vihar, Bhubaneswar, Odisha - 750017"
Full Stack PHP Deveveloper,Sahasra Export and Trading,"25,000
						-
						50,000 ",,10,,,,,e,Graduate,Fluent English,Min. 5 Years,Both,"Mumbai, Mumbai, Maharashtra - 400076"
Sales and Marketing Manager,Etrends Technologies,"35,000
						-
						50,000 ",,10,,,,,e,Graduate,Fluent English,Min. 2 Years,Female Only,"Techno It Park, Eksar Village, Eksar, Borivali West, Mumbai, Maharashtra 400091, India, Borivali, Mumbai, Maharashtra - 400076"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Thane, Mumbai. Detailed Address Will Be Shared On Call., Maharashtra - 400076"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Varanasi, Uttar Pradesh, India, Vidya Vihar Colony, Varanasi, Uttar Pradesh - 212011"
Delivery Executive,Jubilant Food Works,"18,000
						-
						30,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Karkhana, Hyderabad, Telangana - 500001"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"DIAMOND BOURSE PROJECT, Khajod, Surat, Gujarat - 395003"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Sajanpuri, Khamgaon, Maharashtra 444303, India, Golden City, Aurangabad, Maharashtra - 431001"
Food Delivery Biker,Vidhya Construction,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Raipur, Raipur, Chhattisgarh - 490042"
Food Delivery Biker,Sure Staffing Services,"25,000
						-
						33,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"ugf/22,23,green plaza complex,opp.dmart mall,ambli bopal road,, Ambli, Ahmedabad, Gujarat - 380001"
Delivery Boy Biker,Aim Multiskills Jobs,"20,000
						-
						25,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers only,Male Only,"14-15, Raghuvir Bhavan, Malaviya Street, above Vicas Corp, Rajputpara, Rajkot, Gujarat 360002, India, Race Course Road, Rajkot, Gujarat - 360001"
Ecommerce Specialist,Psyna Tex,"15,000
						-
						27,000 ",,10,,,,,e,Graduate,Good English,Min. 6.0 months,Both,"Psyna tex, U-18 , Laxminarayan Industrial Estate , Brc Compound Opp  deksheshwar mandir,  Near GEB electric Chamber Surat - 394210 09377751888  Location https://goo.gl/maps/nXxzHa8kSx3aZ3wy, Udhana, Surat, Gujarat - 395003"
Recruitment Executive,Bharti Axa Life Insurance Company Limited,"15,000
						-
						30,000 ",,10,,,,,e,Graduate,Thoda English,Freshers can apply,Both,"52, Chowringee Rd, Elgin, Kolkata, West Bengal 700071, India, Maidan, Kolkata, West Bengal - 700080"
Delivery Boy Biker,Busybees Logistics Solutions Private Limited,"15,000
						-
						30,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"f-398 , Basni, Jodhpur, Rajasthan - 112001"
Digital Marketing Manager,Sun Photonics,"25,000
						-
						50,000 ",,10,,,,,e,Graduate,Fluent English,Min. 3 Years,Both,"https://goo.gl/maps/uJdGKPxoJ4XVTdci8, Manesar, Delhi-NCR, Delhi - 110001"
Civil Engineer,Aditya Developers,"35,000
						-
						50,000 ",,2,,,,,e,Graduate,Thoda English,Min. 5 Years,Male Only,"204, 2nd Floor, Princess Center, above Mama Loca Cafe, near Manpasand Garden, New Palasia, Indore, Madhya Pradesh 452001, India, Madhya Pradesh - 451010"
Electrician,MYK Engineers Power Solutions,"20,000
						-
						25,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 5 Years,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Delivery Executive,Delhivery,"20,000
						-
						30,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"80 Feet Rd, Vinayak City, Bindayaka, Neemera, Rajasthan 302012, India, Meenawala, Jaipur, Rajasthan - 302001"
General Sales & Marketing Manager,,,,,,,,,e,,,,,
Agency Development Manager,SBI LIFE Insurance company,"20,000
						-
						60,000 ",,10,,,,,e,Graduate,Good English,Min. 1 Years,Both,"Bhubaneswar, Bhubaneswar, Odisha - 750017"
Retail Pharmacist,Dayspring,"20,000
						-
						25,000 ",,10,,,,,e,Diploma,Thoda English,Freshers can apply,Both,"MP Pylee Rd, Jawahar Nagar, Elamkulam, Ernakulam, Kerala 682020, India, Jawahar Nagar, Kochi, Kerala - 682001"
Tailor,Clothes Clinic,"15,000
						-
						35,000 ",,10,,,,,e,10th or Below 10th,No English,Freshers can apply,Male Only,"Captain Suresh Samant Marg, Prathmesh Complex, Jogeshwari West, Mumbai, Maharashtra 400047, India, Jitendra Marg, Mumbai, Maharashtra - 400076"
Sales & Marketing Executive,Starke Connect Private Limited,"15,000
						-
						60,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 1 Years,Both,"Hyderabad, Hyderabad, Telangana - 500001"
Academic Counsellor,Avodha edutech Pvt Ltd,"10,000
						-
						46,000 ",,10,,,,,e,Graduate,No English,Freshers can apply,Male Only,"Kochi, Kochi, Kerala - 682001"
Customer Relationship Manager,Bharti Axa Life Insurance Company Limited,"15,000
						-
						35,000 ",,10,,,,,e,12th Pass,Thoda English,Freshers only,Both,"P/253, Scheme VI-M, Kadapara, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054, India, Phool Bagan, Kolkata, West Bengal - 700080"
Telecaller Cum Computer Operator,Future Fortune Developers & Realtors,"10,000
						-
						150,000 ",,10,,,,,e,12th Pass,Thoda English,Min. 1 Years,Both,"Sector 18, Noida, Uttar Pradesh 201301, India, Noida Sector 18, Delhi-NCR, Delhi - 110001"
Delivery Executive,Zepto,"20,000
						-
						25,000 ",,100,,,,,e,10th or Below 10th,No English,Freshers can apply,Both,"No:28, 2nd Floor,3rd Avenue, Anna Nagar, Brewery Road,Shenoy Nagar, Chennai Tamil Nadu 600030., Anna Nagar, Chennai, Tamil Nadu - 600001"
Billing Engineer,Urban Construction,"35,000
						-
						50,000 ",,10,,,,,e,Graduate,Good English,Min. 5 Years,Both,"Mahindra Happinest Kalyan-2 (Codename Good Life), Mumbai - Nashik Expressway, Sapna Industrial Estate, Saravali, Ranjnoli, Maharashtra, India, Mumbai Nasik Expressway , Mumbai, Maharashtra - 400076"
Sales Executive,Csr Developers,"15,000
						-
						75,000 ",,10,,,,,e,Graduate,Good English,Min. 1 Years,Both,"Hyderabad, Hyderabad, Telangana - 500001"
Franchise Sales Manager,Marham Herbal,"15,000
						-
						55,000 ",,10,,,,,e,12th Pass,Fluent English,Min. 3 Years,Both,"Mumbai, Mumbai, Maharashtra - 400076"
HR Manager,,,,,,,,,e,,,,,
Field Executive,Zoi Health Pvt Ltd,"20,000
						-
						60,000 ",,10,,,,,e,Graduate,Thoda English,Freshers can apply,Both,"Somajiguda, Hyderabad, Telangana, India, Telangana - 500001"
